Страна,Kлики,Показы,CTR,Позиция
Польша,12,1900,0.63%,14.01
Германия,0,12,0%,10.5
США,0,11,0%,13
Италия,0,8,0%,11.38
Великобритания,0,7,0%,10
Хорватия,0,4,0%,3.25
Франция,0,2,0%,3.5
Нидерланды,0,2,0%,6
Дания,0,2,0%,6.5
Испания,0,2,0%,9.5
Канада,0,2,0%,18.5
Вьетнам,0,2,0%,33.5
Болгария,0,1,0%,6
Норвегия,0,1,0%,7
Марокко,0,1,0%,9
Чехия,0,1,0%,15
Россия,0,1,0%,29
Малайзия,0,1,0%,37
Австрия,0,1,0%,43
Португалия,0,1,0%,45
Аргентина,0,1,0%,47
Индия,0,1,0%,57
Коста-Рика,0,1,0%,62
Эквадор,0,1,0%,69
